township_code,township,township_mm,district,state,metric_value,status,last_updated,note
MMR017008,Hinthada,ဟင်္သာတ,Hinthada,Ayeyarwady,0,normal,,
MMR017013,Ingapu,အင်္ဂပူ,Hinthada,Ayeyarwady,0,normal,,
MMR017012,Kyangin,ကြံခင်း,Hinthada,Ayeyarwady,0,normal,,
MMR017010,Lemyethna,လေးမျက်နှာ,Hinthada,Ayeyarwady,0,normal,,
MMR017011,Myanaung,မြန်အောင်,Hinthada,Ayeyarwady,0,normal,,
MMR017009,Zalun,ဇလွန်,Hinthada,Ayeyarwady,0,normal,,
MMR017016,Labutta,လပွတ္တာ,Labutta,Ayeyarwady,0,normal,,
MMR017018,Mawlamyinegyun,မော်လမြိုင်ကျွန်း,Labutta,Ayeyarwady,0,normal,,
MMR017022,Danubyu,ဓနုဖြူ,Maubin,Ayeyarwady,0,normal,,
MMR017019,Maubin,မအူပင်,Maubin,Ayeyarwady,0,normal,,
MMR017021,Nyaungdon,ညောင်တုန်း,Maubin,Ayeyarwady,0,normal,,
MMR017020,Pantanaw,ပန်းတနော်,Maubin,Ayeyarwady,0,normal,,
MMR017015,Einme,အိမ်မဲ,Myaungmya,Ayeyarwady,0,normal,,
MMR017014,Myaungmya,မြောင်းမြ,Myaungmya,Ayeyarwady,0,normal,,
MMR017017,Wakema,ဝါးခယ်မ,Myaungmya,Ayeyarwady,0,normal,,
MMR017002,Kangyidaunt,ကန်ကြီးထောင့်,Pathein,Ayeyarwady,0,normal,,
MMR017006,Yegyi,ရေကြည်,Pathein,Ayeyarwady,0,normal,,
MMR017024,Bogale,ဘိုကလေး,Pyapon,Ayeyarwady,0,normal,,
MMR017026,Dedaye,ဒေးဒရဲ,Pyapon,Ayeyarwady,0,normal,,
MMR017025,Kyaiklat,ကျိုက်လတ်,Pyapon,Ayeyarwady,0,normal,,
MMR017023,Pyapon,ဖျာပုံ,Pyapon,Ayeyarwady,0,normal,,
MMR007001,Bago,ပဲခူး,Bago,Bago (East),0,normal,,
MMR007007,Daik-U,ဒိုက်ဦး,Bago,Bago (East),0,normal,,
MMR007003,Kawa,ကဝ,Bago,Bago (East),0,normal,,
MMR007006,Kyauktaga,ကျောက်တံခါး,Bago,Bago (East),0,normal,,
